,AGMTNO,CUTDATE,MOB,OPENING_BUCKET,SEGMENT_ROF,PORTFOLIO,STATE,AGE,CIBIL_SCORE,APPSCORE,PRNT_BNC_MOB_RATIO,DISBURSALS,OUTSTANDING_BALANCE,EXT_DPD_SEG_TYPE_FINAL,REGIONAL_GROUPING,CUST_LATEST_STRAIGHT_THROUGH_FLOW,NOT_RF,MONTS_SINCE_LATEST_RF,MONTS_SINCE_LATEST_STAB,FIRST_TIME_STAB_MOB,AVG_INTER_STAB_TIME,LATEST_MNT_FOLLOWUP_RESULT_CODE_GRP,LATEST_MNT_DIFF_FIRSTFOLLUP_RECEIPTDT_DD,LATEST_3MNT_FOLLOWUP_NOTCONTACT,LATEST_3MNTAVG_DIFF_FIRSTFOLLUP_EMIDT_DD,LATEST_3MNT_NOT_RECEIPT_LQ21DAYS,NO_EARLY_DRE_PAYMENTS_LQ16D,RECP_LQ6M__MODE_CCR_DAY,OFFLINE__L12M_MODE_CCR_DAY,OD_DPD_CAT_L3M
0,TN3008PA0011450,31-OCT-24,3,0,3.LR,CD,TN,35,,,,151267.0,86922.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
1,TN3008PA0011456,31-OCT-24,3,0,3.LR,CD,TN,31,,,,502683.0,166602.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
2,TN3008PA0011458,31-OCT-24,3,0,3.LR,CD,TN,24,,,,104000.0,12000.0,2.Not_Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,1.0,1,2,0,PP
3,TN3008PA0011459,31-OCT-24,3,0,2.MR,CD,TN,28,,,0.17,44237.0,25540.0,2.Not_Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,PAID,3.0,0.0,13.0,1.0,0,19,19,PP
4,TN3008PA0011460,31-OCT-24,3,0,2.MR,CD,TN,26,,,0.0,228720.0,58920.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,1.0,0,19,0,PP
5,TN3008PA0011464,31-OCT-24,3,0,3.LR,CD,TN,44,,,0.0,54348.0,26586.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,12.0,2.0,2,3,0,PP
6,TN3008PA0011466,31-OCT-24,3,0,3.LR,CD,TN,25,,,0.0,28165.0,1267.0,2.Not_Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,2.0,2,2,0,PP
7,TN3008PA0011494,31-OCT-24,3,0,1.HR,CD,TN,27,,,0.13,140605.0,38324.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,11.0,1.0,1,2,0,PP
8,TN3008PA0011495,31-OCT-24,3,0,1.HR,CD,TN,23,,,0.14,151743.0,83703.0,1.Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,PAID,9.0,0.0,15.0,0.0,0,27,27,PP
9,TN3008PA0011505,31-OCT-24,3,0,2.MR,TW,TN,34,,,0.0,465493.0,286391.0,2.Not_Paying_Outside,TN III,0,0.0,0.0,0.0,0.0,0.0,NOFOLLOWUP,0.0,0.0,0.0,0.0,0,0,0,PP
